index,name,count,score
0,fedora,927,0.08325407
1,arch,927,0.5112043
2,suse,927,0.8329447
3,ubuntu,927,0.31954744
4,ubuntu,927,0.6071258
5,mint,927,0.5697537
6,silverblue,927,0.7735834
7,ubuntu,927,0.84016377
8,suse,927,0.78933686
9,steamos,927,0.68710506
10,debian,927,0.7895286
11,suse,927,0.8109418
12,silverblue,927,0.09194169
13,gentoo,927,0.2870196
14,ubuntu,927,0.0090168435
15,ubuntu,927,0.34000552
16,gentoo,927,0.43158805
17,fedora,927,0.14801915
18,ubuntu,927,0.6950771
19,gentoo,927,0.69829977
20,suse,927,0.37104744
21,silverblue,927,0.794787
22,ubuntu,927,0.36326012
23,bazzite,927,0.3376792
24,ubuntu,927,0.39587486
25,gentoo,927,0.5461666
26,silverblue,927,0.24214084
27,debian,927,0.7072168
28,gentoo,927,0.62743324
29,arch,927,0.9965413
30,gentoo,927,0.16225927
31,suse,927,0.098109886
32,mint,927,0.597111
33,arch,927,0.11833634
34,silverblue,927,0.18765432
35,fedora,927,0.035695903
36,debian,927,0.2973058
37,silverblue,927,0.5121913
38,arch,927,0.08093575
39,silverblue,927,0.530505
40,mint,927,0.48881605
41,gentoo,927,0.7973222
42,arch,927,0.48032516
43,steamos,927,0.8311663
44,steamos,927,0.2016402
45,suse,927,0.5465837
46,ubuntu,927,0.011379492
47,bazzite,927,0.71404773
48,debian,927,0.5734858
49,mint,927,0.736301
50,debian,927,0.102670096
51,silverblue,927,0.66953117
52,bazzite,927,0.14498708
53,arch,927,0.48980895
54,steamos,927,0.14431602
55,silverblue,927,0.6113034
56,silverblue,927,0.67654675
57,arch,927,0.42945436
58,silverblue,927,0.24520725
59,ubuntu,927,0.61673105
60,ubuntu,927,0.51718694
61,arch,927,0.88706154
62,mint,927,0.19114468
63,ubuntu,927,0.022931028
64,steamos,927,0.796923
65,arch,927,0.44092712
66,suse,927,0.5515348
67,mint,927,0.28389627
68,suse,927,0.8124387
69,steamos,927,0.24295454
70,mint,927,0.93800837
71,arch,927,0.62938577
72,arch,927,0.3630125
73,suse,927,0.20373206
74,gentoo,927,0.9095196
75,steamos,927,0.93896794
76,bazzite,927,0.6158543
77,suse,927,0.6944131
78,steamos,927,0.30536103
79,silverblue,927,0.618856
80,arch,927,0.8021706
81,fedora,927,0.951356
82,gentoo,927,0.8872706
83,arch,927,0.52451706
84,gentoo,927,0.2676455
85,fedora,927,0.035130255
86,gentoo,927,0.5244364
87,arch,927,0.06444138
88,arch,927,0.90501577
89,suse,927,0.23323433
90,arch,927,0.812454
91,steamos,927,0.3138245
92,suse,927,0.80109596
93,steamos,927,0.5098093
94,mint,927,0.34305367
95,fedora,927,0.0143472785
96,steamos,927,0.8039729
97,fedora,927,0.09380908
98,debian,927,0.5520092
99,steamos,927,0.7197371
100,suse,927,0.19632287
101,debian,927,0.12043943
102,suse,927,0.06678499
103,silverblue,927,0.061321165
104,steamos,927,0.2580335
105,arch,927,0.37008333
106,steamos,927,0.40268636
107,bazzite,927,0.13857423
108,debian,927,0.70396984
109,debian,927,0.14144596
110,debian,927,0.8012097
111,suse,927,0.26097244
112,arch,927,0.52326655
113,gentoo,927,0.20764178
114,steamos,927,0.6328437
115,steamos,927,0.5883249
116,gentoo,927,0.77027416
117,bazzite,927,0.20007129
118,silverblue,927,0.14107043
119,ubuntu,927,0.42591602
120,ubuntu,927,0.45191932
121,arch,927,0.41896138
122,bazzite,927,0.94278675
123,ubuntu,927,0.54269755
124,bazzite,927,0.861648
125,silverblue,927,0.6713966
126,gentoo,927,0.9116828
127,ubuntu,927,0.038250566
128,arch,927,0.13430984
129,suse,927,0.9878551
130,arch,927,0.25202084
131,debian,927,0.12266817
132,silverblue,927,0.9415849
133,bazzite,927,0.8673582
134,gentoo,927,0.38975513
135,gentoo,927,0.9373073
136,suse,927,0.22236353
137,debian,927,0.44237983
138,mint,927,0.64757365
139,debian,927,0.28502512
140,ubuntu,927,0.58504355
141,suse,927,0.38446257
142,arch,927,0.39453405
143,gentoo,927,0.2990639
144,fedora,927,0.6857519
145,arch,927,0.45940933
146,fedora,927,0.5058054
147,bazzite,927,0.20333879
148,arch,927,0.85712415
149,mint,927,0.75458467
150,suse,927,0.575646
151,ubuntu,927,0.9700184
152,fedora,927,0.6359076
153,gentoo,927,0.7719546
154,ubuntu,927,0.5351763
155,fedora,927,0.8437229
156,ubuntu,927,0.705055
157,arch,927,0.30419576
158,mint,927,0.16391884
159,bazzite,927,0.44469258
160,silverblue,927,0.21324772
161,ubuntu,927,0.19800626
162,ubuntu,927,0.8077171
163,mint,927,0.446717
164,silverblue,927,0.31434068
165,suse,927,0.24529123
166,gentoo,927,0.31081605
167,mint,927,0.09016524
168,ubuntu,927,0.03956408
169,mint,927,0.44416955
170,suse,927,0.07578724
171,fedora,927,0.8557976
172,fedora,927,0.45625365
173,suse,927,0.048752222
174,arch,927,0.5732025
175,steamos,927,0.66633606
176,gentoo,927,0.70028496
177,mint,927,0.6868247
178,steamos,927,0.77675325
179,steamos,927,0.0017375837
180,gentoo,927,0.5192539
181,debian,927,0.9833477
182,debian,927,0.4553442
183,bazzite,927,0.37042147
184,silverblue,927,0.7796991
185,bazzite,927,0.9316679
186,suse,927,0.79428786
187,gentoo,927,0.8105687
188,bazzite,927,0.014885007
189,debian,927,0.30257902
190,fedora,927,0.16543679
191,gentoo,927,0.294054
192,gentoo,927,0.4795613
193,fedora,927,0.2516047
194,suse,927,0.32276934
195,steamos,927,0.36495864
196,arch,927,0.0025405565
197,bazzite,927,0.5031246
198,fedora,927,0.025170578
199,silverblue,927,0.5281072
200,gentoo,927,0.5209106
201,gentoo,927,0.7810835
202,gentoo,927,0.083025396
203,gentoo,927,0.50752044
204,debian,927,0.04566153
205,debian,927,0.9779801
206,ubuntu,927,0.29348415
207,silverblue,927,0.8048727
208,debian,927,0.0076814527
209,suse,927,0.40081868
210,arch,927,0.57237697
211,arch,927,0.59647024
212,debian,927,0.77428406
213,debian,927,0.27111614
214,arch,927,0.4596758
215,debian,927,0.5604922
216,steamos,927,0.23635224
217,fedora,927,0.9687711
218,silverblue,927,0.227807
219,bazzite,927,0.7313235
220,silverblue,927,0.55343646
221,arch,927,0.48711732
222,arch,927,0.77541757
223,fedora,927,0.67938614
224,mint,927,0.47022134
225,fedora,927,0.9233742
226,gentoo,927,0.6466622
227,fedora,927,0.6866622
228,silverblue,927,0.950278
229,bazzite,927,0.99090797
230,debian,927,0.6217023
231,ubuntu,927,0.4380558
232,silverblue,927,0.3153093
233,suse,927,0.3837853
234,suse,927,0.62904435
235,bazzite,927,0.4013161
236,suse,927,0.44035438
237,gentoo,927,0.14239746
238,mint,927,0.14646666
239,bazzite,927,0.43067348
240,arch,927,0.26516607
241,suse,927,0.8345462
242,ubuntu,927,0.48146468
243,gentoo,927,0.89449036
244,arch,927,0.8776861
245,debian,927,0.9603612
246,ubuntu,927,0.5033955
247,suse,927,0.6285738
248,silverblue,927,0.85125315
249,mint,927,0.5950115
250,mint,927,0.3467166
251,bazzite,927,0.7451682
252,debian,927,0.42293406
253,steamos,927,0.93557966
254,arch,927,0.5304329
255,suse,927,0.73832643
256,debian,927,0.5401947
257,arch,927,0.15586846
258,suse,927,0.37549737
259,mint,927,0.6185012
260,suse,927,0.4106725
261,ubuntu,927,0.38195178
262,suse,927,0.8340301
263,gentoo,927,0.44289932
264,bazzite,927,0.09789784
265,silverblue,927,0.24660979
266,gentoo,927,0.17573766
267,bazzite,927,0.50939256
268,silverblue,927,0.063033834
269,mint,927,0.30039355
270,debian,927,0.76756465
271,silverblue,927,0.03850122
272,ubuntu,927,0.3708988
273,debian,927,0.64397097
274,mint,927,0.5207294
275,steamos,927,0.66776973
276,fedora,927,0.71372396
277,steamos,927,0.86263454
278,suse,927,0.04239142
279,mint,927,0.85490125
280,silverblue,927,0.8761607
281,bazzite,927,0.8487149
282,mint,927,0.5021721
283,debian,927,0.87023157
284,silverblue,927,0.938929
285,silverblue,927,0.51309896
286,mint,927,0.5390178
287,mint,927,0.27944812
288,ubuntu,927,0.7322743
289,bazzite,927,0.40453032
290,gentoo,927,0.39209187
291,mint,927,0.2510328
292,fedora,927,0.22970296
293,arch,927,0.7266842
294,arch,927,0.33367467
295,bazzite,927,0.6887019
296,arch,927,0.561396
297,bazzite,927,0.9979976
298,arch,927,0.80276096
299,steamos,927,0.59004295
300,gentoo,927,0.26312426
301,silverblue,927,0.5480787
302,ubuntu,927,0.50892746
303,mint,927,0.70001477
304,ubuntu,927,0.7029195
305,silverblue,927,0.127465
306,ubuntu,927,0.8362003
307,steamos,927,0.77362394
308,suse,927,0.26952845
309,ubuntu,927,0.38189793
310,arch,927,0.2236912
311,fedora,927,0.42451125
312,steamos,927,0.17825109
313,steamos,927,0.6397817
314,suse,927,0.036933575
315,fedora,927,0.52775145
316,silverblue,927,0.18906224
317,silverblue,927,0.13705735
318,debian,927,0.8698467
319,steamos,927,0.91568124
320,ubuntu,927,0.09964474
321,silverblue,927,0.86940753
322,ubuntu,927,0.6011925
323,ubuntu,927,0.06556691
324,gentoo,927,0.5853963
325,arch,927,0.105591245
326,steamos,927,0.8924801
327,bazzite,927,0.009813587
328,steamos,927,0.48534304
329,mint,927,0.5205558
330,suse,927,0.22356184
331,fedora,927,0.12811941
332,silverblue,927,0.50194037
333,ubuntu,927,0.6395905
334,fedora,927,0.8597286
335,fedora,927,0.65201545
336,mint,927,0.8266253
337,gentoo,927,0.8218056
338,steamos,927,0.39297163
339,debian,927,0.6880548
340,bazzite,927,0.1477015
341,debian,927,0.65898204
342,steamos,927,0.4141718
343,steamos,927,0.7581048
344,gentoo,927,0.5714406
345,arch,927,0.88674754
346,debian,927,0.4272334
347,fedora,927,0.5412688
348,fedora,927,0.09443422
349,suse,927,0.99158174
350,arch,927,0.21397819
351,steamos,927,0.74041986
352,arch,927,0.4190666
353,suse,927,0.21819143
354,arch,927,0.15725505
355,arch,927,0.18053171
356,fedora,927,0.52790433
357,suse,927,0.32416067
358,bazzite,927,0.97457093
359,fedora,927,0.16910955
360,suse,927,0.7479576
361,gentoo,927,0.15573479
362,bazzite,927,0.20591658
363,ubuntu,927,0.87057805
364,silverblue,927,0.020866474
365,gentoo,927,0.98683864
366,mint,927,0.1369148
367,gentoo,927,0.57819843
368,suse,927,0.94896185
369,steamos,927,0.8007926
370,arch,927,0.76532924
371,gentoo,927,0.061914213
372,gentoo,927,0.36174056
373,silverblue,927,0.20044498
374,suse,927,0.74760944
375,fedora,927,0.15930222
376,steamos,927,0.3044842
377,steamos,927,0.28006148
378,mint,927,0.19352545
379,suse,927,0.58007616
380,silverblue,927,0.05000284
381,debian,927,0.07828001
382,gentoo,927,0.57657254
383,fedora,927,0.79182565
384,ubuntu,927,0.5947498
385,suse,927,0.8233397
386,fedora,927,0.17321935
387,fedora,927,0.014232045
388,silverblue,927,0.19764103
389,debian,927,0.115657665
390,mint,927,0.02943853
391,mint,927,0.35604838
392,mint,927,0.27122334
393,ubuntu,927,0.08874697
394,arch,927,0.25944224
395,silverblue,927,0.5840473
396,arch,927,0.2859742
397,silverblue,927,0.09565453
398,fedora,927,0.47048974
399,gentoo,927,0.8608085
400,silverblue,927,0.62992305
401,steamos,927,0.030511266
402,suse,927,0.91860163
403,debian,927,0.40335998
404,silverblue,927,0.772855
405,fedora,927,0.76864207
406,suse,927,0.9171093
407,bazzite,927,0.92282975
408,steamos,927,0.6066347
409,bazzite,927,0.5770768
410,gentoo,927,0.91795135
411,silverblue,927,0.045382556
412,arch,927,0.07586463
413,steamos,927,0.45797047
414,bazzite,927,0.6462564
415,gentoo,927,0.3088733
416,fedora,927,0.5881362
417,ubuntu,927,0.62318325
418,debian,927,0.5279287
419,arch,927,0.38485914
420,mint,927,0.97261965
421,silverblue,927,0.81797355
422,fedora,927,0.45164326
423,bazzite,927,0.45729974
424,arch,927,0.8610856
425,silverblue,927,0.10477501
426,mint,927,0.53295296
427,mint,927,0.54931885
428,suse,927,0.13074243
429,gentoo,927,0.5095152
430,ubuntu,927,0.9246108
431,debian,927,0.021707611
432,bazzite,927,0.7028107
433,gentoo,927,0.9510196
434,bazzite,927,0.53637445
435,gentoo,927,0.6943377
436,steamos,927,0.3780295
437,steamos,927,0.94120854
438,mint,927,0.6953833
439,suse,927,0.6689316
440,bazzite,927,0.57668513
441,debian,927,0.26922372
442,steamos,927,0.089760266
443,bazzite,927,0.16135377
444,arch,927,0.9591182
445,bazzite,927,0.38021064
446,fedora,927,0.44450778
447,silverblue,927,0.32812622
448,suse,927,0.97440654
449,gentoo,927,0.0039672665
450,ubuntu,927,0.05048042
451,silverblue,927,0.027721945
452,mint,927,0.6167393
453,fedora,927,0.118417785
454,debian,927,0.09051863
455,mint,927,0.51117015
456,ubuntu,927,0.63405585
457,fedora,927,0.32238024
458,steamos,927,0.1763495
459,arch,927,0.19783846
460,fedora,927,0.6501621
461,steamos,927,0.13713671
462,ubuntu,927,0.34379664
463,mint,927,0.5434299
464,silverblue,927,0.75959605
465,gentoo,927,0.5742824
466,steamos,927,0.2809006
467,mint,927,0.32086283
468,debian,927,0.30108544
469,fedora,927,0.16778111
470,debian,927,0.36435276
471,fedora,927,0.76153624
472,bazzite,927,0.4700897
473,debian,927,0.4723989
474,mint,927,0.3585116
475,silverblue,927,0.35231712
476,mint,927,0.70663816
477,gentoo,927,0.825152
478,fedora,927,0.18177007
479,debian,927,0.6441307
480,ubuntu,927,0.7390066
481,mint,927,0.7693476
482,ubuntu,927,0.27768528
483,gentoo,927,0.45501745
484,suse,927,0.3768096
485,suse,927,0.6122511
486,suse,927,0.11179522
487,debian,927,0.06420351
488,silverblue,927,0.3356542
489,arch,927,0.4781393
490,bazzite,927,0.41090325
491,gentoo,927,0.30185923
492,bazzite,927,0.3912062
493,steamos,927,0.49160534
494,gentoo,927,0.13451517
495,ubuntu,927,0.17081125
496,mint,927,0.007914706
497,bazzite,927,0.75627995
498,steamos,927,0.54584646
499,debian,927,0.591656
500,steamos,927,0.039383948
501,silverblue,927,0.88206095
502,steamos,927,0.44512966
503,gentoo,927,0.9106469
504,gentoo,927,0.09356569
505,suse,927,0.6977282
506,silverblue,927,0.0026456686
507,mint,927,0.64104253
508,suse,927,0.85710824
509,ubuntu,927,0.9990427
510,ubuntu,927,0.027943904
511,mint,927,0.39933658
512,fedora,927,0.34619245
513,arch,927,0.58625036
514,silverblue,927,0.52224886
515,suse,927,0.74246156
516,mint,927,0.7450397
